Operator,M,N,Reuse Type,Reuse Amount
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
Gemv,10,10,matrix,768
Gemv,0,0,vector,768
Gemv,10,10,matrix,768
Gemv,10,10,matrix,3072
Gemv,10,10,matrix,768
Gemv,0,0,vector,768
Gemv,10,10,matrix,768
Gemv,10,10,matrix,3072
Gemv,10,10,matrix,768
Gemv,0,0,vector,768
Gemv,10,10,matrix,768
Gemv,10,10,matrix,3072
Gemv,10,10,matrix,768
Gemv,0,0,vector,768
Gemv,10,10,matrix,768
Gemv,10,10,matrix,3072
Gemv,10,10,matrix,768
Gemv,0,0,vector,768
Gemv,10,10,matrix,768
Gemv,10,10,matrix,3072
Gemv,10,10,matrix,768
Gemv,0,0,vector,768
Gemv,10,10,matrix,768
Gemv,10,10,matrix,3072
Gemv,10,10,matrix,768
Gemv,0,0,vector,768
Gemv,10,10,matrix,768
Gemv,10,10,matrix,3072
Gemv,10,10,matrix,768
Gemv,0,0,vector,768
Gemv,10,10,matrix,768
Gemv,10,10,matrix,3072
Gemv,10,10,matrix,768
Gemv,0,0,vector,768
Gemv,10,10,matrix,768
Gemv,10,10,matrix,3072
Gemv,10,10,matrix,768
Gemv,0,0,vector,768
Gemv,10,10,matrix,768
Gemv,10,10,matrix,3072
Gemv,10,10,matrix,768
Gemv,0,0,vector,768
Gemv,10,10,matrix,768
Gemv,10,10,matrix,3072
Gemv,10,10,matrix,768
Gemv,0,0,vector,768
Gemv,10,10,matrix,768
Gemv,10,10,matrix,3072
Gemv,1,10,vector,10
Gemv,1,10,vector,10
Gemv,1,10,vector,10
Gemv,1,10,vector,10
Gemv,1,10,vector,10
Gemv,1,10,vector,10
Gemv,1,10,vector,10
Gemv,1,10,vector,10
Gemv,1,10,vector,10
Gemv,1,10,vector,10
Gemv,1,10,vector,10
Gemv,1,10,vector,10
