NOTE: This wasn't generated from a script. I looked through the first few outputs with the channels from the parsing
script and wrote down the pattern that I saw in the first few lines here. Then I had Copilot generate the rest of the
data based on the pattern I wrote. I did a quick cross-reference of what Copilot generated with what the parsing script
was writing for the later channels. They only mostly matched, mainly because it's tricky to get the bank data from the 
trace to exactly match the data in the weights numpy file, which forced me to use a threshold when trying to match
the weight matrix data to the bank data from the trace. This causes the script to get the wrong indexes sometimes. But
if the pattern can be found, then the inconsistencies from what the parsing script is generating can be ignored, since
eventually the parsing script does get the right indexes. 

Ch: 0 bg: 0 b: 0, mtx r: 0-7 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 12 bg: 0 b: 0, mtx r: 768-775 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 12 bg: 0 b: 1, mtx r: 768-775, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 13 bg: 0 b: 0, mtx r: 832-839 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 13 bg: 0 b: 1, mtx r: 832-839, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 14 bg: 0 b: 0, mtx r: 896-903 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 14 bg: 0 b: 1, mtx r: 896-903, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 15 bg: 0 b: 0, mtx r: 960-967 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 15 bg: 0 b: 1, mtx r: 960-967, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 16 bg: 0 b: 0, mtx r: 1024-1031 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 16 bg: 0 b: 1, mtx r: 1024-1031, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 17 bg: 0 b: 0, mtx r: 1088-1095 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 17 bg: 0 b: 1, mtx r: 1088-1095, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 18 bg: 0 b: 0, mtx r: 1152-1159 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 18 bg: 0 b: 1, mtx r: 1152-1159, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 19 bg: 0 b: 0, mtx r: 1216-1223 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 19 bg: 0 b: 1, mtx r: 1216-1223, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 20 bg: 0 b: 0, mtx r: 1280-1287 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 20 bg: 0 b: 1, mtx r: 1280-1287, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 21 bg: 0 b: 0, mtx r: 1344-1351 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 21 bg: 0 b: 1, mtx r: 1344-1351, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 22 bg: 0 b: 0, mtx r: 1408-1415 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 22 bg: 0 b: 1, mtx r: 1408-1415, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 23 bg: 0 b: 0, mtx r: 1472-1479 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 23 bg: 0 b: 1, mtx r: 1472-1479, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 24 bg: 0 b: 0, mtx r: 1536-1543 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 24 bg: 0 b: 1, mtx r: 1536-1543, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 25 bg: 0 b: 0, mtx r: 1600-1607 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 25 bg: 0 b: 1, mtx r: 1600-1607, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 26 bg: 0 b: 0, mtx r: 1664-1671 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 26 bg: 0 b: 1, mtx r: 1664-1671, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 27 bg: 0 b: 0, mtx r: 1728-1735 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 27 bg: 0 b: 1, mtx r: 1728-1735, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 28 bg: 0 b: 0, mtx r: 1792-1799 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 28 bg: 0 b: 1, mtx r: 1792-1799, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 29 bg: 0 b: 0, mtx r: 1856-1863 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 29 bg: 0 b: 1, mtx r: 1856-1863, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 30 bg: 0 b: 0, mtx r: 1920-1927 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 30 bg: 0 b: 1, mtx r: 1920-1927, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 31 bg: 0 b: 0, mtx r: 1984-1991 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 31 bg: 0 b: 1, mtx r: 1984-1991, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 32 bg: 0 b: 0, mtx r: 2048-2055 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 32 bg: 0 b: 1, mtx r: 2048-2055, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 33 bg: 0 b: 0, mtx r: 2112-2119 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 33 bg: 0 b: 1, mtx r: 2112-2119, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 34 bg: 0 b: 0, mtx r: 2176-2183 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 34 bg: 0 b: 1, mtx r: 2176-2183, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 35 bg: 0 b: 0, mtx r: 2240-2247 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 35 bg: 0 b: 1, mtx r: 2240-2247, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 36 bg: 0 b: 0, mtx r: 2304-2311 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 36 bg: 0 b: 1, mtx r: 2304-2311, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 37 bg: 0 b: 0, mtx r: 2368-2375 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 37 bg: 0 b: 1, mtx r: 2368-2375, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 38 bg: 0 b: 0, mtx r: 2432-2439 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 38 bg: 0 b: 1, mtx r: 2432-2439, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 39 bg: 0 b: 0, mtx r: 2496-2503 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 39 bg: 0 b: 1, mtx r: 2496-2503, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 40 bg: 0 b: 0, mtx r: 2560-2567 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 40 bg: 0 b: 1, mtx r: 2560-2567, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 41 bg: 0 b: 0, mtx r: 2624-2631 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 41 bg: 0 b: 1, mtx r: 2624-2631, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 42 bg: 0 b: 0, mtx r: 2688-2695 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 42 bg: 0 b: 1, mtx r: 2688-2695, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 43 bg: 0 b: 0, mtx r: 2752-2759 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 43 bg: 0 b: 1, mtx r: 2752-2759, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 44 bg: 0 b: 0, mtx r: 2816-2823 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 44 bg: 0 b: 1, mtx r: 2816-2823, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 45 bg: 0 b: 0, mtx r: 2880-2887 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 45 bg: 0 b: 1, mtx r: 2880-2887, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 46 bg: 0 b: 0, mtx r: 2944-2951 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 46 bg: 0 b: 1, mtx r: 2944-2951, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 47 bg: 0 b: 0, mtx r: 3008-3015 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 47 bg: 0 b: 1, mtx r: 3008-3015, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 48 bg: 0 b: 0, mtx r: 3072-3079 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 48 bg: 0 b: 1, mtx r: 3072-3079, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 49 bg: 0 b: 0, mtx r: 3136-3143 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 49 bg: 0 b: 1, mtx r: 3136-3143, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 50 bg: 0 b: 0, mtx r: 3200-3207 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 50 bg: 0 b: 1, mtx r: 3200-3207, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 51 bg: 0 b: 0, mtx r: 3264-3271 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 51 bg: 0 b: 1, mtx r: 3264-3271, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 52 bg: 0 b: 0, mtx r: 3328-3335 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 52 bg: 0 b: 1, mtx r: 3328-3335, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 53 bg: 0 b: 0, mtx r: 3392-3399 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 53 bg: 0 b: 1, mtx r: 3392-3399, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 54 bg: 0 b: 0, mtx r: 3456-3463 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 54 bg: 0 b: 1, mtx r: 3456-3463, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 55 bg: 0 b: 0, mtx r: 3520-3527 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 55 bg: 0 b: 1, mtx r: 3520-3527, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 56 bg: 0 b: 0, mtx r: 3584-3591 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 56 bg: 0 b: 1, mtx r: 3584-3591, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 57 bg: 0 b: 0, mtx r: 3648-3655 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 57 bg: 0 b: 1, mtx r: 3648-3655, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 58 bg: 0 b: 0, mtx r: 3712-3719 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 58 bg: 0 b: 1, mtx r: 3712-3719, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 59 bg: 0 b: 0, mtx r: 3776-3783 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 59 bg: 0 b: 1, mtx r: 3776-3783, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 60 bg: 0 b: 0, mtx r: 3840-3847 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 60 bg: 0 b: 1, mtx r: 3840-3847, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 61 bg: 0 b: 0, mtx r: 3904-3911 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 61 bg: 0 b: 1, mtx r: 3904-3911, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 62 bg: 0 b: 0, mtx r: 3968-3975 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 62 bg: 0 b: 1, mtx r: 3968-3975, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 63 bg: 0 b: 0, mtx r: 4032-4039 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 63 bg: 0 b: 1, mtx r: 4032-4039, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
